street_clean2,POSTCODE
DOYLE OVERTON RD,78719
MAHA RD,78719
POCMONT TRL,78719
EVELYN RD,78747
S E,78747
S,78719
MAHA LOOP RD,78719
S HWY,78719
S HWY,78747
TOM SASSMAN RD,78747
EILERS RD,78719
RD,78747
VON QUINT RD,78719
S,78747
VALLEJO PLAINS LN,78719
OTILIA LN,78719
TIFFANY TRL,78719
CLIFFBROOK DR,78747
BURKLUND FARMS RD,78719
HORIZON LN,78719
MAHA CIR,78747
SUNFLOWER DR,78719
ER LN,78719
SUNBONNET CV,78719
CARL RD,78747
OLD LOCKHART RD,78747
RODRIGUEZ RD,78747
THAXTON RD,78747
LAMBERT LN,78719
SIMPSON LN,78747
BRADAW RD,78747
GUERRERO LN,78747
JEREMIAH LN,78747
COULVER RD,78747
S RD,78719
IVELY LN,78747
MOORE RD,78719
RINARD RD,78747
LAVA LN,78747
SOUTHVIEW HILLS CV,78719
BONITA VISTA ST,78747
COUNTY DOWN DR,78747
ALVINA WOLFF CT,78747
MICKELSON DR,78747
BOROS DR,78747
ZOELLER DR,78747
PLAYERS PATH,78747
BUBBA WATSON CV,78747
COUNTY DOWN CT,78747
RD,78719
RIVER PLANTATION DR,78747
GOLF CV,78747
DALY CV,78747
CHAMPIONS LN,78747
LEHMAN WAY,78747
DALY DR,78747
PINEHURST DR,78747
MERION CRICKET DR,78747
INDIAN WELLS DR,78747
MICKELSON CV,78747
S PINEHURST DR,78747
OMEARA CV,78747
WALTON HEATH CIR,78747
MERION CRICKET CT,78747
OLD SAN ANTONIO RD,78748
BALLYBUNION PL,78747
RD,78744
HAMMOND ST,78747
EDEN DR,78747
SASSMAN RD,78747
CAPITOL VIEW DR,78747
LOFGREN CV,78747
PARTAGE CIR,78747
SENTINEL DR,78747
GUNFLINT DR,78747
TAMARISK CV,78747
JAGGER AVE,78747
MARY LEWIS DR,78747
ANDES PEAK TRL,78747
ROME AVE,78747
OLYMPIA FIELDS LOOP,78747
SUNDAY DR,78747
POINT CLEAR CT,78747
ONION CREEK CT,78747
PORTMARNOCK CT,78747
CORAL GABLES CT,78747
RINCON ST,78747
ONION CREEK PKWY,78747
ALEMOOR DR,78747
SOUTHERNER WAY,78747
HARWOOD OVERLOOK CV,78747
VISTAS DR,78747
ARBOR CREST LN,78747
CITATION AVE,78719
DIMITRIOS DR,78747
PRESTON TRAILS DR,78747
PEBBLE BEACH DR,78747
CRESCENDO LN,78747
BELL TOWER LN,78747
S,78748
OWL CREEK LN,78747
ONION CREEK PKWY,78748
